state,township,admin3_pcode,vul_score,conflict_score,insecure_pc,insecure_persons,IDPs,population,conflict_affected,pre_ex_vulnerable,vul_pop,vul_pop_score,caseload,caseload_pc,PIN,pc_pin,pc_pop
Kachin,Bhamo,MMR001010,0.296251577,0.11084049,29.01,552047,12247,166451.6811,18449.58592,49311.57308,49311.57308,0.296251577,61558.57308,0.063626463,47371.79779,0.069146925,0.284597893
Kachin,Shwegu,MMR001011,0.429595816,0.146030528,29.01,552047,2246,115705.849,16896.58619,49706.74862,49706.74862,0.429595816,51952.74862,0.053697957,31889.79612,0.046548399,0.275610925
Kachin,Momauk,MMR001012,0.449251352,0.308631715,29.01,552047,28425,77294.47306,23855.52576,34724.64651,34724.64651,0.449251352,63149.64651,0.065270984,64457.65075,0.094086536,0.833923154
Kachin,Mansi,MMR001013,0.370114645,0.089594334,29.01,552047,14880,64861.74641,5811.24499,24006.28223,24006.28223,0.370114645,38886.28223,0.040192559,37068.18163,0.054107104,0.571495275
Kachin,Mohnyin,MMR001007,0.335886778,0.223708141,29.01,552047,2068,256126.3762,57297.55556,86029.46322,86029.46322,0.335886778,88097.46322,0.091056853,52335.6626,0.076392502,0.20433531
Kachin,Mogaung,MMR001008,0.326934328,0.124246333,29.01,552047,5867,162575.5166,20199.41178,53151.51722,53151.51722,0.326934328,59018.51722,0.061001081,39542.46354,0.057718725,0.243225206
Kachin,Hpakant,MMR001009,0.212092991,0.461625385,29.01,552047,10869,402320.1722,185721.2045,85329.28868,185721.2045,0.461625385,196590.2045,0.203194107,123041.6973,0.179599581,0.305830296
Kachin,Myitkyina,MMR001001,0.24385304,0.375838443,29.01,552047,14364,387555.0313,145658.0793,94506.47261,145658.0793,0.375838443,160022.0793,0.165397577,105671.2363,0.154244538,0.272661242
Kachin,Waingmaw,MMR001002,0.555206241,0.221367272,29.01,552047,31793,153377.0225,33952.65307,85155.88005,85155.88005,0.555206241,116948.88,0.120877453,98523.03545,0.143810564,0.642358509
Kachin,Injangyang,MMR001003,0.843218789,0.01425192,29.01,552047,597,2104.985958,30.00009232,1774.96371,1774.96371,0.843218789,2371.96371,0.002451643,1950.422302,0.002846962,0.926572595
Kachin,Tanai,MMR001004,0.492448788,0.084420572,29.01,552047,1434,73155.62113,6175.839415,36025.39694,36025.39694,0.492448788,37459.39694,0.038717741,22808.01303,0.033292044,0.311773896
Kachin,Chipwi,MMR001005,0.797124416,0.00990314,29.01,552047,2617,24096.95791,238.6355411,19208.27349,19208.27349,0.797124416,21825.27349,0.022558433,15070.31527,0.021997602,0.625403228
Kachin,Tsawlaw,MMR001006,0.939722644,0.004007686,29.01,552047,79,7867.595786,31.53085717,7393.357912,7393.357912,0.939722644,7472.357912,0.007723371,4342.663817,0.006338832,0.551968344
Kachin,Puta-O,MMR001014,0.500701065,0.089256914,29.01,552047,4320,74395.26694,6640.291959,37249.78938,37249.78938,0.500701065,41569.78938,0.042966211,28039.36796,0.040928066,0.376897202
Kachin,Sumprabum,MMR001015,0.435348094,0.032414803,29.01,552047,1149,3106.96003,100.7114969,1352.609129,1352.609129,0.435348094,2501.609129,0.002585644,2576.396874,0.003760675,0.829233994
Kachin,Machanbaw,MMR001016,0.506751469,0.001572095,29.01,552047,0,10911.12055,17.15331762,5529.226362,5529.226362,0.506751469,5529.226362,0.005714965,3154.929496,0.004605138,0.289148074
