state,State/Region Pcode,District, Township ,Township Pcode,,Population,"IDPs 
(projection)","Returned, resettled and locally integrated IDPs
(projection)","Non-displaced stateless people in Rakhine
",Rest of the population
Mandalay,MMR010,Meiktila,Mahlaing,MMR010029,MMR010029,153551.7978,0,0,,153551.7978
Mandalay,MMR010,Meiktila,Thazi,MMR010030,MMR010030,219766.875,0,0,,219766.875
Mandalay,MMR010,Meiktila,Wundwin,MMR010031,MMR010031,251138.2576,0,0,,251138.2576
Mon,MMR011,Mawlamyine,Mawlamyine,MMR011001,MMR011001,279086.2051,68,13,,279005.2051
Mon,MMR011,Mawlamyine,Kyaikmaraw,MMR011002,MMR011002,185718.5607,0,0,,185718.5607
Mon,MMR011,Mawlamyine,Chaungzon,MMR011003,MMR011003,117626.2771,0,0,,117626.2771
Mon,MMR011,Mawlamyine,Thanbyuzayat,MMR011004,MMR011004,162860.6912,0,0,,162860.6912
Mon,MMR011,Mawlamyine,Mudon,MMR011005,MMR011005,183950.3348,0,0,,183950.3348
Mon,MMR011,Mawlamyine,Ye,MMR011006,MMR011006,250116.5432,50,10,,250056.5432
Mon,MMR011,Thaton,Thaton,MMR011007,MMR011007,226224.5125,13201,2508,,210515.5125
Mon,MMR011,Thaton,Paung,MMR011008,MMR011008,207768.443,0,0,,207768.443
Mon,MMR011,Thaton,Kyaikto,MMR011009,MMR011009,174662.0589,27821,5286,,141555.0589
Mon,MMR011,Thaton,Bilin,MMR011010,MMR011010,171425.3735,21903,4162,,145360.3735
Rakhine,MMR012,Sittwe,Sittwe,MMR012001,MMR012001,239094.2717,122622,23298,83807,9367.271683
Rakhine,MMR012,Sittwe,Ponnagyun,MMR012002,MMR012002,208337.2043,4074,774,2618,200871.2043
Rakhine,MMR012,Mrauk-U,Mrauk-U,MMR012003,MMR012003,304949.5005,31513,5987,26739,240710.5005
Rakhine,MMR012,Mrauk-U,Kyauktaw,MMR012004,MMR012004,278748.4957,11622,2208,53431,211487.4957
Rakhine,MMR012,Mrauk-U,Minbya,MMR012005,MMR012005,271265.6714,1387,264,33369,236245.6714
Rakhine,MMR012,Mrauk-U,Myebon,MMR012006,MMR012006,219757.6638,4669,887,,214201.6638
Rakhine,MMR012,Sittwe,Pauktaw,MMR012007,MMR012007,232770.1956,26697,5072,16141,184860.1956
Rakhine,MMR012,Sittwe,Rathedaung,MMR012008,MMR012008,139529,18582,3531,9609,107807
Rakhine,MMR012,Maungdaw,Maungdaw,MMR012009,MMR012009,114535,19047,3619,73035,18834
Rakhine,MMR012,Maungdaw,Buthidaung,MMR012010,MMR012010,206704,10579,2010,147992,46123
Rakhine,MMR012,Kyaukpyu,Kyaukpyu,MMR012011,MMR012011,267026.25,1001,190,,265835.25
Rakhine,MMR012,Kyaukpyu,Munaung,MMR012012,MMR012012,93387.01399,0,0,,93387.01399
Rakhine,MMR012,Kyaukpyu,Ramree,MMR012013,MMR012013,158906.8835,0,0,,158906.8835
Rakhine,MMR012,Kyaukpyu,Ann,MMR012014,MMR012014,192654.6402,1118,212,,191324.6402
Rakhine,MMR012,Thandwe,Thandwe,MMR012015,MMR012015,217432.8044,0,0,,217432.8044
Rakhine,MMR012,Thandwe,Toungup,MMR012016,MMR012016,256269.8189,0,0,,256269.8189
Rakhine,MMR012,Thandwe,Gwa,MMR012017,MMR012017,107520.8362,0,0,,107520.8362
Yangon,MMR013,Yangon (North),Insein,MMR013001,MMR013001,367570.9311,3676,698,,363196.9311
Yangon,MMR013,Yangon (North),Mingaladon,MMR013002,MMR013002,397346.8718,0,0,,397346.8718
Yangon,MMR013,Yangon (North),Hmawbi,MMR013003,MMR013003,293370.7185,0,0,,293370.7185
Yangon,MMR013,Yangon (North),Hlegu,MMR013004,MMR013004,323764.958,0,0,,323764.958
Yangon,MMR013,Yangon (North),Taikkyi,MMR013005,MMR013005,333895.6684,0,0,,333895.6684
Yangon,MMR013,Yangon (North),Htantabin,MMR013006,MMR013006,174639.0502,0,0,,174639.0502
Yangon,MMR013,Yangon (North),Shwepyithar,MMR013007,MMR013007,411830.0972,0,0,,411830.0972
Yangon,MMR013,Yangon (East),Thingangyun,MMR013009,MMR013009,252869.0283,2529,481,,249859.0283
Yangon,MMR013,Yangon (East),Yankin,MMR013010,MMR013010,85965.51484,860,163,,84942.51484
Yangon,MMR013,Yangon (East),South Okkalapa,MMR013011,MMR013011,194878.821,1949,370,,192559.821
Yangon,MMR013,Yangon (East),North Okkalapa,MMR013012,MMR013012,400937.3556,0,0,,400937.3556
Yangon,MMR013,Yangon (East),Thaketa,MMR013013,MMR013013,266005.162,2660,505,,262840.162
Yangon,MMR013,Yangon (East),Dawbon,MMR013014,MMR013014,90615.3985,906,172,,89537.3985
Yangon,MMR013,Yangon (East),Tamwe,MMR013015,MMR013015,200616.9314,2006,381,,198229.9314
Yangon,MMR013,Yangon (East),Pazundaung,MMR013016,MMR013016,58882.83887,589,112,,58181.83887
Yangon,MMR013,Yangon (East),Botahtaung,MMR013017,MMR013017,49633.31769,496,94,,49043.31769
Yangon,MMR013,Yangon (East),Dagon Myothit (South),MMR013018,MMR013018,445991.7614,0,0,,445991.7614
Yangon,MMR013,Yangon (East),Dagon Myothit (North),MMR013019,MMR013019,247861.7567,2479,471,,244911.7567
Yangon,MMR013,Yangon (East),Dagon Myothit (East),MMR013020,MMR013020,199007.1885,0,0,,199007.1885
Yangon,MMR013,Yangon (East),Dagon Myothit (Seikkan),MMR013021,MMR013021,200709.8613,0,0,,200709.8613
Yangon,MMR013,Yangon (East),Mingalartaungnyunt,MMR013022,MMR013022,160464.5023,0,0,,160464.5023
Yangon,MMR013,Yangon (South),Thanlyin,MMR013023,MMR013023,322739.8729,0,0,,322739.8729
Yangon,MMR013,Yangon (South),Kyauktan,MMR013024,MMR013024,201873.5755,0,0,,201873.5755
Yangon,MMR013,Yangon (South),Thongwa,MMR013025,MMR013025,190768.3527,0,0,,190768.3527
Yangon,MMR013,Yangon (South),Kayan,MMR013026,MMR013026,190509.8348,0,0,,190509.8348
Yangon,MMR013,Yangon (South),Twantay,MMR013027,MMR013027,271544.0443,0,0,,271544.0443
Yangon,MMR013,Yangon (South),Kawhmu,MMR013028,MMR013028,143114.296,0,0,,143114.296
Yangon,MMR013,Yangon (South),Kungyangon,MMR013029,MMR013029,134600.1962,1346,256,,132998.1962
Yangon,MMR013,Yangon (South),Dala,MMR013030,MMR013030,207090.4662,0,0,,207090.4662
Yangon,MMR013,Yangon (South),Seikgyikanaungto,MMR013031,MMR013031,40792.12628,0,0,,40792.12628
Yangon,MMR013,Yangon (South),Cocokyun,MMR013032,MMR013032,2338.491247,0,0,,2338.491247
Yangon,MMR013,Yangon (West),Kyauktada,MMR013033,MMR013033,36399.28456,7,1,,36391.28456
Yangon,MMR013,Yangon (West),Pabedan,MMR013034,MMR013034,40436.04901,0,0,,40436.04901
Yangon,MMR013,Yangon (West),Lanmadaw,MMR013035,MMR013035,56958.86347,570,108,,56280.86347
Yangon,MMR013,Yangon (West),Latha,MMR013036,MMR013036,30410.44691,0,0,,30410.44691
Yangon,MMR013,Yangon (West),Ahlone,MMR013037,MMR013037,67099.45145,671,127,,66301.45145
Yangon,MMR013,Yangon (West),Kyeemyindaing,MMR013038,MMR013038,134561.6661,1346,256,,132959.6661
Yangon,MMR013,Yangon (West),Sanchaung,MMR013039,MMR013039,120665.8195,24,5,,120636.8195
Yangon,MMR013,Yangon (West),Hlaing,MMR013040,MMR013040,193788.6751,1938,368,,191482.6751
Yangon,MMR013,Yangon (West),Kamaryut,MMR013041,MMR013041,101824.4101,20,4,,101800.4101
Yangon,MMR013,Yangon (West),Mayangone,MMR013042,MMR013042,238482.5502,2385,453,,235644.5502
Yangon,MMR013,Yangon (West),Dagon,MMR013043,MMR013043,30183.20097,6,1,,30176.20097
Yangon,MMR013,Yangon (West),Bahan,MMR013044,MMR013044,116946.2818,1169,222,,115555.2818
Yangon,MMR013,Yangon (West),Seikkan,MMR013045,MMR013045,3369.607673,0,0,,3369.607673
Yangon,MMR013,,Hlaingtharya (East),MMR013046,#N/A,618275.8092,0,0,,618275.8092
Yangon,MMR013,,Hlaingtharya (West),MMR013047,#N/A,201609.8945,0,0,,201609.8945
Shan (South),MMR222,Taunggyi,Taunggyi,MMR014001,MMR014001,503620.7488,6522,1239,,495859.7488
Shan (South),MMR222,Taunggyi,Nyaungshwe,MMR014002,MMR014002,217900.1963,12889,2449,,202562.1963
Shan (South),MMR222,Pa-O Self-Administered Zone,Hopong,MMR014003,MMR014003,128348.5253,1253,238,,126857.5253
Shan (South),MMR222,Pa-O Self-Administered Zone,Hsihseng,MMR014004,MMR014004,174167.7194,25783,4899,,143485.7194
Shan (South),MMR222,Taunggyi,Kalaw,MMR014005,MMR014005,212956.6381,2544,483,,209929.6381
Shan (South),MMR222,Danu Self-Administered Zone,Pindaya,MMR014006,MMR014006,91007.92235,1585,301,,89121.92235
Shan (South),MMR222,Danu Self-Administered Zone,Ywangan,MMR014007,MMR014007,94661.90439,19,4,,94638.90439
Shan (South),MMR222,Taunggyi,Lawksawk,MMR014008,MMR014008,188076.0928,583,111,,187382.0928
Shan (South),MMR222,Pa-O Self-Administered Zone,Pinlaung,MMR014009,MMR014009,219988.5814,21257,4039,,194692.5814
Shan (South),MMR222,Taunggyi,Pekon,MMR014010,MMR014010,117598.4381,106835,20299,,0
Shan (South),MMR222,Loilen,Loilen,MMR014011,MMR014011,142577.6886,539,102,,141936.6886
Shan (South),MMR222,Loilen,Laihka,MMR014012,MMR014012,56040.95786,2629,500,,52911.95786
Shan (South),MMR222,Loilen,Nansang,MMR014013,MMR014013,133436.0498,0,0,,133436.0498
Shan (South),MMR222,Loilen,Kunhing,MMR014014,MMR014014,61513.19247,558,106,,60849.19247
Shan (South),MMR222,Loilen,Kyethi,MMR014015,MMR014015,85226.86495,1837,349,,83040.86495
Shan (South),MMR222,Loilen,Mongkaing,MMR014016,MMR014016,85786.54676,21887,4159,,59740.54676
